row,column,coefficient,observation,variance
2447,19,109.4026724,0.654315061,0.0001
2462,19,-4.842380514,0.139635994,0.0001
2467,19,-26.88172043,-1.46332143,0.0001
2495,19,-6.25,-1.72775426,0.0001
4017,19,1,0.701192453,0.0001
25,20,-29.12055911,1.172737154,0.0001
26,20,14.41337561,0.362002046,0.0001
1793,20,-12.80081925,-0.419637923,0.0001
2450,20,-29.12055911,-0.601818738,0.0001
2495,20,-15.7803377,-0.410912829,0.0001
2660,20,-16.66666667,-0.546667854,0.0001
2712,20,-14.41337561,0.268890997,0.0001
4018,20,1,0.322212368,0.0001
1793,21,12.80081925,-0.618192922,0.0001
4019,21,1,0.571603815,0.0001
5,22,49.70178926,1.499640585,0.0001
27,22,10.80730574,1.411677391,0.0001
28,22,10.80730574,-0.602263654,0.0001
1794,22,-8.522969403,0.185423176,0.0001
2436,22,-49.70178926,-0.314092759,0.0001
2448,22,79.83937014,-0.279450535,0.0001
2452,22,-21.61461148,-0.127718617,0.0001
4020,22,1,0.015126074,0.0001
1794,23,8.522969403,-1.440958923,0.0001
2448,23,-8.522969403,-0.373012827,0.0001
4021,23,1,-1.176615844,0.0001
29,24,15.86546089,0.37148384,0.0001
2446,24,-15.21606817,0.334869303,0.0001
2449,24,31.08152906,-1.50403464,0.0001
2501,24,-15.86546089,-0.286863936,0.0001
4022,24,1,-0.578355376,0.0001
6,25,12.18026797,3.407817742,0.0001
25,25,29.12055911,5.237788279,0.0001
1795,25,-5.541394215,0.181796915,0.0001
2437,25,-12.18026797,-0.789425379,0.0001
2450,25,46.8422213,1.199780259,0.0001
4023,25,1,-0.700975013,0.0001
1795,26,5.541394215,0.68955332,0.0001
2450,26,-5.541394215,0.57771161,0.0001
4024,26,1,-0.635150949,0.0001
30,27,9.126585744,-0.956635522,0.0001
31,27,-13.1061599,0.27117125,0.0001
2451,27,22.23274564,-0.128192459,0.0001
2467,27,-9.126585744,0.996891457,0.0001
2477,27,-13.1061599,-1.053746193,0.0001
4025,27,1,-0.498576317,0.0001
27,28,-10.80730574,-0.188957736,0.0001
28,28,-10.80730574,0.774060185,0.0001
2448,28,-21.61461148,1.497477209,0.0001
2452,28,74.94794481,-0.710624299,0.0001
4026,28,1,0.334770782,0.0001
19,29,-7.048209755,-0.256070177,0.0001
32,29,8.522969403,-1.910793733,0.0001
2445,29,-7.048209755,2.513499806,0.0001
2453,29,15.57117916,0.642558102,0.0001
2477,29,-8.522969403,0.626767864,0.0001
4027,29,1,-0.605232289,0.0001
10,30,-2.70343336,0.419743669,0.0001
33,30,-2.678523598,-0.559445825,0.0001
2454,30,7.746861771,-5.807070816,0.0001
2460,30,-2.364904813,-3.684738533,0.0001
4028,30,1,-0.445144261,0.0001
8,31,3.645111905,-0.16793096,0.0001
2443,31,-3.693034936,0.769953831,0.0001
4029,31,1,0.558767097,0.0001
1796,32,-14.7972773,4.939348352,0.0001
2439,32,-9.089256499,0.578477388,0.0001
2455,32,-14.7972773,0.746066132,0.0001
2458,32,-8.513536523,-1.035229453,0.0001
2460,32,-9.090909091,0.185656324,0.0001
4030,32,1,0.997628816,0.0001
34,33,32.25806452,0.716330821,0.0001
35,33,7.352941176,0.152301412,0.0001
1796,33,14.7972773,0.684135257,0.0001
2455,33,54.40828299,0.757706148,0.0001
2494,33,-32.25806452,0.540367664,0.0001
2651,33,-7.352941176,-0.502642325,0.0001
4031,33,1,-0.187363896,0.0001
16,34,-9.110787172,0.647095792,0.0001
2456,34,41.84099846,1.047816459,0.0001
2457,34,-11.77024482,-0.202750368,0.0001
2485,34,-20.95996646,0.016177756,0.0001
4032,34,1,-0.517358062,0.0001
2456,35,-11.77024482,-0.155480047,0.0001
2457,35,11.77024482,-0.108934575,0.0001
4033,35,1,-0.054166358,0.0001
36,36,-8.479606546,-0.105212053,0.0001
2458,36,16.99314307,0.8583768,0.0001
2499,36,-8.479606546,-0.142133116,0.0001
4034,36,1,0.406286506,0.0001
37,37,23.15350776,0.747835791,0.0001
2445,37,-29.83293556,-0.604463135,0.0001
2459,37,52.98644332,0.02639079,0.0001
4035,37,1,-1.101426985,0.0001
38,38,-20,-1.041457535,0.0001
1797,38,-11.64008846,-0.08505578,0.0001
2454,38,-2.364904813,-0.909037809,0.0001
2460,38,63.22067596,-0.90895788,0.0001
2461,38,-11.64008846,1.378738755,0.0001
4036,38,1,-0.613535175,0.0001
1797,39,11.64008846,-0.081885389,0.0001
2460,39,-11.64008846,-0.800384057,0.0001
2461,39,11.64008846,-0.50057299,0.0001
4037,39,1,-0.404129233,0.0001
39,40,7.502438292,-0.516756603,0.0001
2447,40,-4.842380514,0.570454761,0.0001
2462,40,12.34481881,1.43286758,0.0001
2501,40,-7.502438292,0.067103301,0.0001
4038,40,1,-0.667825382,0.0001
40,41,58.07200929,-0.716585861,0.0001
1798,41,-8.990380293,-0.462298258,0.0001
2463,41,120.2407725,-0.067420517,0.0001
2464,41,-8.990380293,-0.987710044,0.0001
2465,41,-7.785736531,0.772948558,0.0001
2483,41,-45.39264639,-1.711179564,0.0001
2485,41,-58.07200929,-0.6509002,0.0001
4039,41,1,-0.22514477,0.0001
1798,42,8.990380293,0.072389583,0.0001
2463,42,-8.990380293,-0.571538331,0.0001
2464,42,8.990380293,1.596539965,0.0001
4040,42,1,0.421763291,0.0001
2463,43,-7.785736531,1.022438272,0.0001
2465,43,7.785736531,-0.806180927,0.0001
4041,43,1,4.9667363,0.0001
41,44,5.816658911,-3.939618389,0.0001
42,44,-5.255136896,-0.064304981,0.0001
2466,44,11.07179581,-5.218565447,0.0001
2624,44,-5.816658911,3.98343359,0.0001
2712,44,-5.255136896,-0.727422196,0.0001
4042,44,1,1.134123005,0.0001
21,45,-26.88172043,10.2319636,0.0001
30,45,-9.126585744,10.23208336,0.0001
2447,45,-26.88172043,7.103394351,0.0001
2451,45,-9.126585744,-2.462302969,0.0001
2467,45,62.36571261,-0.058496279,0.0001
4043,45,1,1.934479545,0.0001
43,46,-7.008199594,-1.146013317,0.0001
44,46,4.263665046,3.186254479,0.0001
2468,46,11.27186464,3.186171143,0.0001
2498,46,-7.008199594,-0.259730224,0.0001
2615,46,-4.263665046,-0.187722466,0.0001
4044,46,1,-0.373343067,0.0001
13,47,16.34788295,0.380678115,0.0001
20,47,6.41025641,-0.652161604,0.0001
1799,47,-8.486803021,-0.314992907,0.0001
1800,47,-10.05935017,0.669387056,0.0001
1801,47,-7.794232268,-0.284285991,0.0001
1802,47,-12.10653753,0.263397337,0.0001
1803,47,-11.35331517,-0.17466375,0.0001
2443,47,-16.34788295,-0.006113614,0.0001
2444,47,-6.759497093,0.443903045,0.0001
2445,47,-6.41025641,-1.551072573,0.0001
2469,47,110.8725702,-2.206119822,0.0001
2470,47,-8.486803021,0.340365391,0.0001
2471,47,-10.05935017,-0.378143072,0.0001
2472,47,-7.794232268,-3.540518264,0.0001
2473,47,-12.10653753,-3.540277873,0.0001
2474,47,-11.35331517,2.010322884,0.0001
2496,47,-16.34788295,-0.156144972,0.0001
4045,47,1,0.221306309,0.0001
2469,48,-15.20681265,-0.089436295,0.0001
4046,48,1,-0.394403777,0.0001
1799,49,8.486803021,1.105405799,0.0001
2469,49,-8.486803021,1.305850554,0.0001
2470,49,8.486803021,-0.691378996,0.0001
4047,49,1,-0.024874505,0.0001
1800,50,10.05935017,-0.451373614,0.0001
2469,50,-10.05935017,-1.000124958,0.0001
2471,50,10.05935017,-0.320315129,0.0001
4048,50,1,0.08502259,0.0001
1801,51,7.794232268,-0.184789644,0.0001
2469,51,-7.794232268,-0.112318857,0.0001
2472,51,7.794232268,0.185379763,0.0001
4049,51,1,0.974485056,0.0001
1802,52,12.10653753,0.224145686,0.0001
2469,52,-12.10653753,-0.252766602,0.0001
2473,52,12.10653753,-0.870304736,0.0001
4050,52,1,-0.089505287,0.0001
1803,53,11.35331517,0.159856798,0.0001
2469,53,-11.35331517,-0.396926343,0.0001
2474,53,44.6866485,-0.145026827,0.0001
2494,53,-33.33333333,-1.66105441,0.0001
4051,53,1,-0.482315545,0.0001
45,54,10.38098204,0.576544205,0.0001
46,54,-4.682305567,0.159394072,0.0001
2475,54,15.06328761,0.040974858,0.0001
2477,54,-10.38098204,0.371074585,0.0001
2500,54,-4.682305567,-0.303277145,0.0001
4052,54,1,-0.055708168,0.0001
2436,55,-26.44103649,-1.081932141,0.0001
2476,55,34.65189124,0.034084069,0.0001
2500,55,-8.21085475,-0.30200123,0.0001
4053,55,1,-0.661104014,0.0001
31,56,13.1061599,-0.926120949,0.0001
32,56,-8.522969403,-0.926195514,0.0001
45,56,-10.38098204,0.170031872,0.0001
47,56,7.714858818,0.115563711,0.0001
1804,56,-7.62195122,-1.049412333,0.0001
2451,56,-13.1061599,-0.233236154,0.0001
2453,56,-8.522969403,0.169058206,0.0001
2475,56,-10.38098204,-0.122944874,0.0001
2477,56,55.07131501,0.082669857,0.0001
2478,56,-7.62195122,0.506042605,0.0001
2483,56,-7.714858818,1.071951167,0.0001
4054,56,1,0.416595382,0.0001
1804,57,7.62195122,0.831800058,0.0001
2477,57,-7.62195122,0.458694605,0.0001
2478,57,7.62195122,0.530233851,0.0001
4055,57,1,-0.630031828,0.0001
48,58,-19.3986421,-0.62975238,0.0001
49,58,9.127418766,-0.254429472,0.0001
50,58,9.127418766,1.091687955,0.0001
1805,58,-2.165111395,1.091765297,0.0001
1806,58,-2.573737582,0.401312771,0.0001
2479,58,61.7909707,0.096615186,0.0001
2480,58,-2.165111395,-0.455462116,0.0001
2481,58,-2.573737582,-2.238444702,0.0001
2498,58,-18.25483753,-0.266131324,0.0001
4056,58,1,-0.35337862,0.0001
1805,59,2.165111395,-0.353344553,0.0001
2479,59,-2.165111395,-0.280276739,0.0001
2480,59,2.165111395,1.731891829,0.0001
4057,59,1,1.731927028,0.0001
1806,60,2.573737582,-0.189197726,0.0001
2479,60,-2.573737582,2.19E-05,0.0001
2481,60,2.573737582,0.744222756,0.0001
4058,60,1,-0.118106607,0.0001
51,61,5.555555556,-0.344974421,0.0001
1807,61,-3.145940164,-0.344847365,0.0001
2437,61,-40.25764895,-0.455230067,0.0001
2477,61,-7.724393635,-0.602519798,0.0001
2482,61,-9.607070804,0.657213175,0.0001
2643,61,-5.555555556,-0.134561094,0.0001
4059,61,1,0.483813145,0.0001
1807,62,3.145940164,0.075045625,0.0001
4060,62,1,-0.096585644,0.0001
2482,63,9.607070804,0.018932993,0.0001
4061,63,1,-1.507015525,0.0001
1,64,-27.93296089,-2.468552397,0.0001
2435,64,-55.86592179,-2.468605587,0.0001
2467,64,-26.35740643,-2.468709325,0.0001
4062,64,1,1.552931218,0.0001
47,65,-7.714858818,1.552805971,0.0001
1808,65,-8.120178644,1.552738777,0.0001
2463,65,-45.39264639,-1.710964932,0.0001
2477,65,-7.714858818,-1.710901337,0.0001
2483,65,61.22768385,3.825612582,0.0001
2484,65,-8.120178644,3.825540746,0.0001
4063,65,1,-1.415900247,0.0001
1808,66,8.120178644,-1.416100744,0.0001
2483,66,-8.120178644,-1.333662496,0.0001
2484,66,8.120178644,-1.333604064,0.0001
4064,66,1,-0.024841771,0.0001
7,67,23.91772303,1.230736834,0.0001
40,67,-58.07200929,-0.263174081,0.0001
2437,67,-23.91772303,-0.498229261,0.0001
2456,67,-20.95996646,-0.498351758,0.0001
2463,67,-58.07200929,-0.162225748,0.0001
2485,67,102.9496988,0.668905872,0.0001
4065,67,1,-0.636793438,0.0001
17,68,6.314327208,-0.610391095,0.0001
52,68,-5.909816205,-0.610403154,0.0001
2499,68,-5.909816205,0.60958387,0.0001
4066,68,1,0.715312269,0.0001
9,69,-27.56339581,-0.692035698,0.0001
48,69,19.3986421,-0.562785319,0.0001
53,69,-10.50420168,-0.56287597,0.0001
1809,69,-14.28571429,0.919344368,0.0001
2439,69,-27.56339581,0.91939274,0.0001
2479,69,-38.79728419,0.127779828,0.0001
2486,69,-14.28571429,0.578764605,0.0001
4067,69,1,0.578843295,0.0001
1809,70,14.28571429,-0.653071575,0.0001
2486,70,14.28571429,-0.653043824,0.0001
4068,70,1,-0.198152825,0.0001
2,71,-35.61253561,-0.858387777,0.0001
22,71,-35.71428571,-0.858425918,0.0001
23,71,35.71428571,1.676603053,0.0001
37,71,-23.15350776,1.677015574,0.0001
1810,71,-11.69453865,-0.801328979,0.0001
1811,71,-7.015574576,-0.170494504,0.0001
1812,71,-10.03310926,-1.174228042,0.0001
1813,71,-20.25521572,-1.174368329,0.0001
1814,71,-8.300821781,-0.887842576,0.0001
1815,71,-5.23916802,1.077794766,0.0001
1816,71,-15.03759398,-0.882787143,0.0001
2435,71,-71.22507123,-2.78662503,0.0001
2447,71,-71.42857143,2.970941089,0.0001
2459,71,-23.15350776,-0.561022763,0.0001
2487,71,-11.69453865,0.301334829,0.0001
2488,71,-7.015574576,-0.048012293,0.0001
2489,71,-8.030193528,1.710356106,0.0001
2490,71,-10.03310926,1.710193294,0.0001
2491,71,-20.25521572,-1.773941874,0.0001
2492,71,-5.23916802,1.960536279,0.0001
2493,71,-21.73913043,-1.740794642,0.0001
2494,71,-15.03759398,-0.512337963,0.0001
4069,71,1,-0.395730603,0.0001
1810,72,11.69453865,-0.781562455,0.0001
2487,72,11.69453865,-0.551199989,0.0001
4070,72,1,0.766543652,0.0001
1811,73,7.015574576,-1.221377009,0.0001
2488,73,7.015574576,-1.221618427,0.0001
4071,73,1,1.238660902,0.0001
2489,74,8.030193528,1.238612892,0.0001
4072,74,1,0.648782381,0.0001
1812,75,10.03310926,0.750702542,0.0001
2490,75,10.03310926,1.532614575,0.0001
4073,75,1,1.53242341,0.0001
1813,76,20.25521572,1.411710832,0.0001
2491,76,20.25521572,1.411584823,0.0001
4074,76,1,-0.043973473,0.0001
1814,77,8.300821781,-0.393206547,0.0001
4075,77,1,-0.097520684,0.0001
1815,78,5.23916802,-0.823904147,0.0001
2492,78,5.23916802,-1.027730124,0.0001
4076,78,1,-1.027784641,0.0001
54,79,-66.66666667,-1.05568208,0.0001
2493,79,155.0724638,-0.241824803,0.0001
2649,79,-133.3333333,-0.889834578,0.0001
4077,79,1,-0.889771254,0.0001
4078,80,1,-0.1807936,0.0001
34,81,-32.25806452,-0.650382504,0.0001
55,81,11.23595506,-1.186958709,0.0001
1816,81,15.03759398,-1.186901325,0.0001
2455,81,-32.25806452,-0.905670594,0.0001
2474,81,-33.33333333,-0.905753487,0.0001
2494,81,91.86494689,1.446267218,0.0001
2659,81,-11.23595506,0.236132654,0.0001
4079,81,1,0.45493818,0.0001
53,82,10.50420168,0.556617349,0.0001
2460,82,-20.1247736,-0.595609195,0.0001
4080,82,1,0.399522041,0.0001
15,83,-5.466571913,-0.825452084,0.0001
33,83,2.678523598,0.716684397,0.0001
38,83,20,0.779156352,0.0001
2444,83,-5.466571913,-1.167330792,0.0001
2454,83,-2.678523598,-1.890804498,0.0001
2460,83,-20,-1.890778494,0.0001
4081,83,1,0.034404306,0.0001
24,84,-6.25,0.478896851,0.0001
56,84,10.95170299,-1.973035316,0.0001
2447,84,-6.25,0.630175985,0.0001
2495,84,32.98204069,1.392457473,0.0001
2712,84,-10.95170299,1.392271164,0.0001
4082,84,1,1.392483986,0.0001
57,85,6.739452756,-0.348010432,0.0001
58,85,-7.253735674,-0.483558478,0.0001
2469,85,-16.34788295,0.280660273,0.0001
2496,85,30.34107138,0.684105565,0.0001
2497,85,-6.739452756,0.599557099,0.0001
2501,85,-7.253735674,0.628898142,0.0001
4083,85,1,-0.437091138,0.0001
14,86,5.178395733,0.680324408,0.0001
57,86,-6.739452756,0.377493772,0.0001
2443,86,-5.178395733,1.48104554,0.0001
2496,86,-6.739452756,1.481196566,0.0001
2497,86,11.91784849,-0.247106791,0.0001
4084,86,1,-3.366960681,0.0001
11,87,-4.885436514,-0.426972006,0.0001
43,87,7.008199594,0.749644728,0.0001
49,87,-9.127418766,0.040235656,0.0001
50,87,-9.127418766,0.590948569,0.0001
2442,87,-4.885436514,0.7079123,0.0001
2468,87,-7.008199594,-0.37055516,0.0001
2479,87,-18.25483753,-1.682061538,0.0001
2498,87,30.14847364,-1.682252981,0.0001
4085,87,1,-1.577437201,0.0001
36,88,8.479606546,0.889420666,0.0001
52,88,5.909816205,1.298861033,0.0001
2458,88,-8.479606546,2.019357392,0.0001
2499,88,14.38942275,-1.278105606,0.0001
4086,88,1,-0.390843696,0.0001
46,89,4.682305567,1.744870715,0.0001
2475,89,-4.682305567,0.268981223,0.0001
2476,89,-8.21085475,0.153195651,0.0001
2500,89,12.89316032,0.204924735,0.0001
4087,89,1,-1.69691277,0.0001
29,90,-15.86546089,-1.696692965,0.0001
39,90,-7.502438292,-1.027412444,0.0001
58,90,7.253735674,-1.027191361,0.0001
2449,90,-15.86546089,0.727176612,0.0001
2462,90,-7.502438292,0.803577408,0.0001
2496,90,-7.253735674,0.485627945,0.0001
2501,90,30.62163486,0.614952052,0.0001
4088,90,1,0.119644184,0.0001
59,91,-5.83294447,-3.380013558,0.0001
60,91,-40.93327876,2.454463435,0.0001
2502,91,57.11069411,1.201555466,0.0001
2526,91,-5.83294447,-2.122273082,0.0001
2540,91,-10.34447088,-2.12223183,0.0001
2581,91,-40.93327876,-2.122446626,0.0001
4089,91,1,-1.581214791,0.0001
61,92,-27.04895862,-1.581312771,0.0001
62,92,-24.61841457,-6.582216291,0.0001
2503,92,51.66737319,-7.24437967,0.0001
2519,92,-27.04895862,-7.244484088,0.0001
2524,92,-24.61841457,7.604675741,0.0001
4090,92,1,1.201942017,0.0001
63,93,-85.10638298,-10.38029543,0.0001
64,93,270.2702703,-12.38256599,0.0001
1817,93,-68.21282401,-9.937867084,0.0001
1818,93,-58.34305718,-2.187069394,0.0001
1819,93,-37.32736096,-2.187489572,0.0001
2504,93,569.6123627,-1.113463782,0.0001
2505,93,-50.35246727,-1.113520476,0.0001
2506,93,-37.32736096,-0.503392832,0.0001
2518,93,-85.10638298,0.012646481,0.0001
4091,93,1,1.025026364,0.0001
65,94,101.010101,-1.376920617,0.0001
2504,94,-50.35246727,-1.376758312,0.0001
2505,94,199.7418619,-1.749054914,0.0001
2533,94,-48.37929366,0.765973657,0.0001
4092,94,1,0.461604884,0.0001
1817,95,68.21282401,1.581158541,0.0001
2504,95,-68.21282401,1.581187839,0.0001
4093,95,1,1.485292509,0.0001
1818,96,58.34305718,1.58359218,0.0001
2504,96,-58.34305718,0.851178175,0.0001
4094,96,1,-0.30821103,0.0001
1819,97,37.32736096,-1.104513097,0.0001
2504,97,-37.32736096,-0.806901342,0.0001
2506,97,37.32736096,-0.383220681,0.0001
4095,97,1,1.138289289,0.0001
66,98,19.20491646,-0.547388171,0.0001
2507,98,46.51985773,-1.513178347,0.0001
2592,98,-19.20491646,-0.869694814,0.0001
2597,98,-27.31494127,-8.453697961,0.0001
4096,98,1,1.221746219,0.0001
67,99,-10.06947941,5.720563701,0.0001
68,99,12.09043646,1.791277635,0.0001
2508,99,22.15991587,1.791379481,0.0001
2513,99,-10.06947941,-1.208298024,0.0001
2544,99,-12.09043646,0.090636358,0.0001
4097,99,1,-1.906477419,0.0001
69,100,13.93534002,-1.906225943,0.0001
70,100,31.98976328,-1.818766861,0.0001
71,100,-32.42542153,-14.26980641,0.0001
2509,100,78.35052483,-6.107733767,0.0001
2541,100,-13.93534002,-1.035632827,0.0001
2567,100,-31.98976328,-2.588824528,0.0001
4098,100,1,-11.34741666,0.0001
72,101,-9.304056569,-0.456487724,0.0001
73,101,9.553835865,-1.023413903,0.0001
2510,101,29.86747077,-1.023319953,0.0001
2553,101,-9.304056569,-1.023371138,0.0001
2575,101,-9.553835865,-1.023310707,0.0001
4099,101,1,8.834943384,0.0001
74,102,-76.51109411,9.290267739,0.0001
1820,102,-28.20078962,-5.09116784,0.0001
1821,102,-34.51846738,-1.262389437,0.0001
2511,102,-28.20078962,0.466496595,0.0001
2512,102,-34.51846738,0.707544112,0.0001
2601,102,-76.51109411,-0.541159768,0.0001
4100,102,1,-0.541070907,0.0001
75,103,18.87861053,-1.305001865,0.0001
76,103,-22.04585538,-1.304985439,0.0001
77,103,23.64066194,0.265938223,0.0001
1820,103,28.20078962,1.129218462,0.0001
2511,103,104.0640759,2.322382,0.0001
2535,103,-18.87861053,-8.592020114,0.0001
2544,103,-11.2981584,-10.69143134,0.0001
2577,103,-22.04585538,2.303120184,0.0001
2598,103,-23.64066194,2.303346689,0.0001
4101,103,1,2.303352994,0.0001
1821,104,34.51846738,2.303413487,0.0001
2512,104,34.51846738,-2.130043684,0.0001
4102,104,1,0.53566269,0.0001
67,105,10.06947941,1.282333281,0.0001
2508,105,-10.06947941,-1.126230211,0.0001
2513,105,22.71490177,1.691394475,0.0001
2526,105,-12.64542236,1.691410311,0.0001
4103,105,1,1.691281555,0.0001
78,106,26.3227165,1.691386438,0.0001
79,106,-23.60160491,-1.343794342,0.0001
2514,106,49.92432141,-1.343949532,0.0001
4104,106,1,-0.620876113,0.0001
80,107,-38.25554705,0.709187299,0.0001
81,107,-26.99055331,0.702182444,0.0001
2515,107,65.24610036,-0.748808571,0.0001
2537,107,-38.25554705,0.011312445,0.0001
2560,107,-26.99055331,-0.051051828,0.0001
4105,107,1,0.26691571,0.0001
1822,108,-19.82160555,-0.082045781,0.0001
2516,108,229.5254366,0.832139932,0.0001
2579,108,-32.59452412,-1.00356702,0.0001
2601,108,-92.50693802,-1.003668997,0.0001
4106,108,1,-1.625421964,0.0001
82,109,19.51219512,0.536276621,0.0001
1822,109,19.82160555,0.160051691,0.0001
2516,109,-19.82160555,-1.004994565,0.0001
2577,109,-19.51219512,0.099721986,0.0001
4107,109,1,-0.477298824,0.0001
2516,110,-84.60236887,-1.979929967,0.0001
4108,110,1,1.435150596,0.0001
83,111,-182.4817518,-6.92055104,0.0001
84,111,-134.4086022,2.734225577,0.0001
2517,111,316.890354,-1.45246098,0.0001
2539,111,-182.4817518,-1.452515775,0.0001
2547,111,-134.4086022,-1.452374205,0.0001
4109,111,1,0.371241893,0.0001
63,112,85.10638298,-0.141934423,0.0001
85,112,-806.4516129,-0.182410675,0.0001
1823,112,-29.35995302,-0.844339729,0.0001
1824,112,-41.2371134,-0.373623378,0.0001
2504,112,-85.10638298,-0.763022655,0.0001
2518,112,1015.121164,0.347740605,0.0001
2519,112,-52.96610169,0.636128905,0.0001
2520,112,-29.35995302,-0.6361019,0.0001
2521,112,-41.2371134,-0.277759059,0.0001
2591,112,-806.4516129,0.908465427,0.0001
4110,112,1,-0.117392287,0.0001
61,113,27.04895862,0.768437548,0.0001
86,113,10.64849324,0.565313264,0.0001
2503,113,-27.04895862,-1.114500778,0.0001
2518,113,-52.96610169,-1.079709662,0.0001
2519,113,122.3492316,-1.079791491,0.0001
2534,113,-10.64849324,0.728687522,0.0001
4111,113,1,0.755168976,0.0001
1823,114,29.35995302,0.33935204,0.0001
2518,114,-29.35995302,1.61393551,0.0001
2520,114,29.35995302,1.613952933,0.0001
4112,114,1,1.614080887,0.0001
1824,115,41.2371134,0.831307769,0.0001
2518,115,-41.2371134,-1.994233725,0.0001
2521,115,41.2371134,-1.30620464,0.0001
4113,115,1,-0.116810823,0.0001
87,116,98.42519685,0.754193644,0.0001
2522,116,169.8537683,-1.174971478,0.0001
2547,116,-98.42519685,-1.174850839,0.0001
2558,116,-71.42857143,1.930708063,0.0001
4114,116,1,1.609145495,0.0001
88,117,-9.500285009,-0.388274058,0.0001
2523,117,28.30434669,-8.311534169,0.0001
2550,117,-9.500285009,1.05399091,0.0001
2602,117,-18.80406168,-1.781519404,0.0001
4115,117,1,-1.781426376,0.0001
62,118,24.61841457,-1.623607808,0.0001
89,118,13.41381623,-1.623715631,0.0001
2503,118,-24.61841457,-1.623438187,0.0001
2524,118,38.0322308,0.427643606,0.0001
2574,118,-13.41381623,-0.991056168,0.0001
4116,118,1,-0.488897908,0.0001
90,119,46.97040864,1.259262438,0.0001
91,119,-46.27487274,1.25905648,0.0001
2525,119,115.3691752,0.903468915,0.0001
2539,119,-46.97040864,0.903432276,0.0001
